	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP066_62_VAG_PM010_1_1_R2_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003397123768542634	0.00905899671611369	0.021515117200770015	0.11210508436190691	0.2966821424527234	0.4053901030460877	0.5480693013248783	0.7405729815422941	0.8923111765371985	1.0961386026497566	1.3599818820065677	1.6408107802060923	1.9227720529951309	2.091495866832748	2.299852791303363	2.5999320575246294	2.9702185482957764	3.2714301891065567	3.547729588948024	3.7855282527460083	4.101460763220473	4.497791869550447	4.877137357037708	5.182878496206545	5.459177896048013	5.793228399954705	6.200883252179821	6.577963990488053	6.955044728796286	7.256256369607065	7.6140867398935566	8.029668214245273	8.500736043483183	8.907258521118786	9.220926282414222	9.587815649416827	9.951307892650888	10.366889367002605	10.774544219227721	11.109727097723926	11.453968972936249	11.857094326803306	12.348544898652474	12.813950854942815	13.221605707167932	13.562450458611709	14.009738421469823	14.548748726078585	15.015287056958442	15.447854150152871	15.809081644207904	16.21786887102253	16.70592231910316	17.210961386026497	17.710338580002265	18.091948816668555	18.541501528705695
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP085_78_VAG_PM034_1_1_R1_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.002	0.002	0.002	0.002	0.002	0.0025	0.006	0.0115	0.0345	0.07450000000000001	0.118	0.1835	0.27349999999999997	0.35150000000000003	0.4315	0.5369999999999999	0.669	0.817	0.904	1.025	1.161	1.3505	1.538	1.6795	1.8235000000000001	2.0045	2.2359999999999998	2.4290000000000003	2.59	2.7455	2.926	3.146	3.3805	3.553	3.7039999999999997	3.8975	4.145	4.4190000000000005	4.6535	4.837	5.0545	5.3260000000000005	5.6205	5.875	6.074999999999999	6.272	6.577999999999999	6.942	7.243	7.484	7.745	8.0565	8.413	8.768	9.0555	9.314	9.58	9.947500000000002	10.321	10.6365	10.7375	10.963
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP085_78_VAG_PM034_1_1_R2_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.0035	0.006	0.0265	0.06	0.101	0.16449999999999998	0.2515	0.319	0.393	0.4985	0.63	0.7969999999999999	0.8855	0.9784999999999999	1.1125	1.314	1.509	1.646	1.7745	1.9385	2.18	2.395	2.5534999999999997	2.702	2.8785	3.0955	3.3455000000000004	3.5295	3.6719999999999997	3.8605	4.098	4.38	4.6240000000000006	4.7989999999999995	4.994999999999999	5.2620000000000005	5.5685	5.836499999999999	6.037	6.2425	6.535	6.8785	7.202	7.446	7.6855	7.98	8.3475	8.726500000000001	9.004999999999999	9.2425	9.531500000000001	9.894	10.2645	10.600000000000001	10.872	11.177
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP087_80_VAG_PM036_1_1_R1_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.006500000000000001	0.042499999999999996	0.10200000000000001	0.1745	0.27	0.38949999999999996	0.47850000000000004	0.5825	0.7324999999999999	0.9135	1.1005	1.233	1.362	1.5485000000000002	1.796	2.0305	2.189	2.3449999999999998	2.5645	2.8445	3.1285	3.3415	3.5235000000000003	3.76	4.06	4.3595	4.615	4.8055	5.045999999999999	5.381	5.7044999999999995	6.000500000000001	6.231	6.5095	6.868	7.2945	7.6265	7.9079999999999995	8.192	8.536	8.9295	9.2425	9.52	9.804	10.104	10.475000000000001	10.807	11.1175	11.3945	11.672	12.061499999999999	12.471499999999999	12.797	12.908000000000001	13.148499999999999
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP087_80_VAG_PM036_1_1_R2_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0055	0.043	0.10300000000000001	0.1735	0.27149999999999996	0.39149999999999996	0.47850000000000004	0.583	0.7355	0.9165	1.108	1.242	1.3635000000000002	1.549	1.8035	2.039	2.1959999999999997	2.3505	2.5655	2.8545	3.1395	3.3529999999999998	3.5345	3.7744999999999997	4.0745	4.3740000000000006	4.6345	4.8294999999999995	5.07	5.4094999999999995	5.74	6.032	6.2620000000000005	6.545	6.9030000000000005	7.3045	7.6275	7.894	8.161999999999999	8.5155	8.901	9.2325	9.519	9.786999999999999	10.090499999999999	10.4605	10.815999999999999	11.1355	11.408999999999999	11.705	12.089	12.5035	12.8795	13.205	13.5365
