	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	145
BP009_9_CER_PM021_1_1_R1_subset	34.48162	35.53757	36.14715	36.39525	36.38549	36.37177	36.35686	36.31736	36.40055	36.344448	36.321852	36.294548000000006	36.223892	36.163090000000004	36.104293999999996	36.05248	36.00683	35.958384	35.907624	35.839476	35.772983999999994	35.720659865080066	35.64842217565272	35.6039800846058	35.54097117247211	35.48440485600873	35.431498109378346	35.36139873497892	35.265103161829636	35.17789315088644	35.11319061295577	35.048850552241575	34.99071037512592	34.91754630774267	34.87263828576247	34.91019089952132	35.47887783116535
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	145
BP009_9_CER_PM021_1_1_R2_subset	32.48456	35.79487	35.91707	36.05409	35.99617	36.18332	36.17503	36.11525	36.22551	36.153552000000005	36.08082399999999	36.03415	35.9552	35.93369800000001	35.892652000000005	35.851034	35.80777400000001	35.745872000000006	35.686084	35.621458000000004	35.56071	35.480714000000006	35.420528000000004	35.376694	35.321478	35.249994	35.139162	35.08297	35.021748	34.90109199999999	34.77586	34.670286	34.52058	34.455116000000004	34.317106	34.246492	32.60029
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	145
BP036_36_CER_PM018_2_1_R1_subset	34.45567	35.51907	36.13744	36.3954	36.39314	36.3542	36.37894	36.35435	36.4112	36.355586	36.333902	36.298956000000004	36.240877999999995	36.185792	36.11829	36.070492	36.022832	35.977619999999995	35.906524	35.868986	35.794106	35.73309602617168	35.66456594219037	35.58075794008546	35.4962807056334	35.43067691627709	35.32611837759764	35.22547456215795	35.10545625402282	34.97932958616	34.92253824876031	34.812224566426394	34.740335484556205	34.677408704458195	34.63113070721717	34.705066617826944	35.385029618222106
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	145
BP036_36_CER_PM018_2_1_R2_subset	32.5236	35.8626	35.95674	36.07499	36.03676	36.2345	36.21491	36.17905	36.27143	36.18342199999999	36.1202	36.067524	36.00139	35.962654	35.94376200000001	35.884514	35.824298	35.780604	35.715184	35.65642999999999	35.586716	35.51386600000001	35.476748	35.407565999999996	35.347318	35.285764	35.185726	35.118046	35.051207999999995	34.924956	34.8104	34.68652	34.545814	34.4802	34.354913999999994	34.293459999999996	32.573335
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	145
BP066_62_VAG_PM010_1_1_R1_subset	34.49711244479674	35.48014947344581	36.103272562563696	36.30811912580682	36.35327822443664	36.32179821084815	36.28732872834333	36.26021968067037	36.33008719284339	36.27395311969199	36.25716226927867	36.22295096818028	36.17155475031141	36.1394496659495	36.10504812592005	36.07841467557468	36.043446948250484	36.01433586230325	35.996471520779075	35.95222285131921	35.91464160344242	35.86582605922955	35.75559735785595	35.635080202808254	35.50354915294427	35.32771299878976	35.16178397713421	34.99406292857625	34.78775970188466	34.611930713357694	34.54191121370273	34.47726747876046	34.49755080989064	34.52306000714289	34.61382743467369	34.75318296379941	35.386639367412876
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	145
BP066_62_VAG_PM010_1_1_R2_subset	32.57857547276639	35.8358962744876	35.90286490771147	36.033790057751105	35.99886762541048	36.169267353640585	36.16933529611595	36.12444796738761	36.159574227154344	36.129077114709546	36.06069074849961	36.02418752123203	35.94476729702186	35.94907484996036	35.95674329068056	35.93388744196581	35.910143811572866	35.890639791643075	35.8577963990488	35.85493828558487	35.81944060695279	35.80030347638999	35.77549088438455	35.730091722341754	35.68860151738195	35.67635828332012	35.61115615445589	35.564352847922095	35.507779413429965	35.42060921752916	35.307000339712374	35.202223983693806	35.10014720869664	35.04850639791643	34.94844072019025	34.88116861057638	33.22638432793568
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	145
BP085_78_VAG_PM034_1_1_R1_subset	34.3497	35.40395	36.01646	36.29409	36.26535	36.25613	36.25011	36.23144	36.31268	36.235672	36.202958	36.175045999999995	36.11431	36.04345	35.987222	35.93244	35.875422	35.824276	35.773796000000004	35.729845999999995	35.65274	35.59561785023293	35.500219395996254	35.41412382145487	35.3371010815898	35.203304478996316	35.10337476158978	34.97824482221165	34.82515782579314	34.66845634647693	34.59027433978723	34.47566434513454	34.437459784226704	34.40061702317134	34.358632423221366	34.45293094209549	35.27137004955517
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	145
BP085_78_VAG_PM034_1_1_R2_subset	32.76188	35.92707	36.07974	36.19158	36.14346	36.33395	36.31816	36.27285	36.37909	36.294108	36.246256	36.195592	36.140296	36.10924	36.061389999999996	36.023635999999996	35.966376	35.908406	35.848168	35.797476	35.731688	35.673717999999994	35.61242	35.564806	35.506834000000005	35.453058	35.340822	35.290686	35.234816	35.130266000000006	35.00583200000001	34.8808	34.757313999999994	34.690904	34.552132	34.481238000000005	32.80726
