PC	Standard deviation	Proportion of Variance	Cumulative Proportion
PC1	123.827389657709	0.66181	0.66181
PC2	73.7039987607385	0.23447	0.89627
PC3	24.9308601608822	0.02683	0.9231
PC4	23.5340553225841	0.02391	0.94701
PC5	21.1297476686245	0.01927	0.96628
PC6	20.1013957596174	0.01744	0.98372
PC7	19.4237213621702	0.01628	1
PC8	2.77724545525716e-13	0	1
