del_size	fq
0	6103
-1	735
-2	443
-3	831
-4	151
-5	149
-6	121
-7	264
-8	69
-9	46
-10	271
-11	668
-12	40
-13	76
-14	70
-15	40
-16	30
-17	26
-18	352
-19	24
-20	19
-21	39
-22	16
-23	20
-24	48
-25	10
-26	18
-27	173
-28	27
-29	31
-30	14
-31	3
-32	6
-33	5
-34	6
-35	2
-36	9
-37	5
-38	1
-39	19
-40	86
-41	9
-42	24
-43	0
-44	15
-45	27
-46	13
-47	50
-48	0
-49	20
-50	1
-51	42
-52	6
-53	0
-54	2
-55	11
-56	0
-57	2
-58	24
-59	3
-60	6
-61	2
-62	9
-63	25
-64	5
-65	17
-66	2
-67	0
-68	2
-69	9
-70	4
-71	0
-72	5
-73	9
-74	7
-75	45
-76	6
-77	4
-78	3
-79	3
-80	0
-81	5
-82	29
-83	10
-84	5
-85	3
-86	13
-87	1
-88	4
-89	8
-90	7
-91	7
-92	7
-93	0
-94	6
-95	5
-96	1
-97	0
-98	6
-99	3
-100	3
-101	10
-102	2
-103	1
-104	0
-105	5
