del_size	fq
0	6143
-1	669
-2	356
-3	776
-4	115
-5	112
-6	88
-7	224
-8	39
-9	36
-10	203
-11	458
-12	62
-13	57
-14	39
-15	23
-16	13
-17	38
-18	196
-19	20
-20	1
-21	20
-22	14
-23	19
-24	26
-25	2
-26	17
-27	117
-28	29
-29	8
-30	13
-31	0
-32	12
-33	8
-34	9
-35	0
-36	4
-37	0
-38	3
-39	7
-40	51
-41	0
-42	21
-43	0
-44	30
-45	22
-46	10
-47	22
-48	0
-49	6
-50	0
-51	4
-52	10
-53	16
-54	1
-55	3
-56	1
-57	8
-58	0
-59	3
-60	10
-61	2
-62	0
-63	4
-64	1
-65	6
-66	0
-67	10
-68	9
-69	19
-70	3
-71	3
-72	8
-73	1
-74	0
-75	4
-76	0
-77	3
-78	1
-79	2
-80	3
-81	2
-82	7
-83	0
-84	0
-85	0
-86	15
-87	0
-88	11
-89	6
-90	14
-91	1
-92	5
-93	2
-94	9
-95	4
-96	1
-97	3
-98	0
-99	0
-100	1
-101	0
-102	0
-103	0
-104	6
