indel_size	fq
-104	6
-103	0
-102	0
-101	0
-100	1
-99	0
-98	0
-97	3
-96	1
-95	4
-94	9
-93	2
-92	5
-91	1
-90	14
-89	6
-88	11
-87	0
-86	15
-85	0
-84	0
-83	0
-82	7
-81	2
-80	3
-79	2
-78	1
-77	3
-76	0
-75	4
-74	0
-73	1
-72	8
-71	3
-70	3
-69	19
-68	9
-67	10
-66	0
-65	6
-64	1
-63	4
-62	0
-61	2
-60	10
-59	3
-58	0
-57	8
-56	1
-55	3
-54	1
-53	16
-52	10
-51	4
-50	0
-49	6
-48	0
-47	22
-46	10
-45	22
-44	30
-43	0
-42	21
-41	0
-40	51
-39	7
-38	3
-37	0
-36	4
-35	0
-34	9
-33	8
-32	12
-31	0
-30	13
-29	8
-28	29
-27	117
-26	17
-25	2
-24	26
-23	19
-22	14
-21	20
-20	1
-19	20
-18	196
-17	38
-16	13
-15	23
-14	39
-13	57
-12	62
-11	458
-10	203
-9	36
-8	39
-7	224
-6	88
-5	112
-4	115
-3	776
-2	356
-1	669
0	3551
1	2182
2	80
3	58
4	15
5	27
6	18
7	17
8	8
9	3
10	16
11	13
12	10
13	11
14	27
15	22
16	10
17	9
18	17
19	6
20	19
21	1
22	12
23	2
24	0
25	2
26	0
27	0
28	0
29	3
30	4
