del_size	fq
0	6497
-1	705
-2	359
-3	863
-4	96
-5	141
-6	108
-7	229
-8	35
-9	36
-10	296
-11	606
-12	23
-13	76
-14	54
-15	19
-16	10
-17	22
-18	319
-19	8
-20	10
-21	48
-22	19
-23	28
-24	79
-25	2
-26	23
-27	189
-28	21
-29	13
-30	13
-31	4
-32	9
-33	1
-34	0
-35	11
-36	8
-37	4
-38	0
-39	15
-40	74
-41	2
-42	31
-43	6
-44	16
-45	27
-46	24
-47	54
-48	24
-49	21
-50	0
-51	32
-52	10
-53	10
-54	12
-55	6
-56	4
-57	1
-58	7
-59	1
-60	10
-61	2
-62	8
-63	15
-64	2
-65	14
-66	0
-67	4
-68	6
-69	4
-70	2
-71	4
-72	11
-73	1
-74	6
-75	55
-76	0
-77	8
-78	14
-79	3
-80	16
-81	9
-82	21
-83	3
-84	15
-85	0
-86	32
-87	21
-88	8
-89	5
-90	18
-91	0
-92	2
-93	5
-94	7
-95	17
-96	4
-97	10
-98	17
-99	16
-100	0
-101	12
-102	0
-103	8
-104	0
-105	9
