Sequence	A	B
NODE_438	1	0
NODE_439	0	2
NODE_440	1	0
NODE_442	0	1
NODE_443	1	0
NODE_444	1	0
NODE_447	1	0
NODE_448	2	3
NODE_450	1	0
NODE_456	2	0
NODE_457	1	1
NODE_459	2	0
NODE_460	1	0
NODE_462	1	0
NODE_466	1	0
NODE_467	1	0
NODE_468	0	1
NODE_471	1	0
NODE_474	0	1
NODE_475	1	0
NODE_476	1	0
NODE_479	1	1
NODE_480	1	0
NODE_481	0	1
NODE_482	1	0
NODE_483	1	0
NODE_484	1	0
NODE_485	1	0
NODE_486	0	1
NODE_487	2	0
NODE_488	1	0
NODE_490	1	0
NODE_493	1	0
NODE_494	1	0
NODE_497	1	0
NODE_499	1	0
NODE_501	0	1
NODE_504	1	2
NODE_505	1	0
NODE_514	1	0
NODE_518	0	1
NODE_519	1	0
NODE_520	0	1
NODE_524	0	3
NODE_525	1	0
NODE_526	0	1
NODE_529	1	0
NODE_530	1	0
NODE_532	1	0
NODE_533	1	0
NODE_536	0	1
NODE_539	1	0
NODE_541	1	0
NODE_542	1	0
NODE_545	1	0
NODE_546	0	2
NODE_548	1	0
NODE_549	1	0
NODE_551	0	1
NODE_553	1	0
NODE_554	0	1
NODE_555	0	1
NODE_556	2	0
NODE_558	1	0
NODE_559	0	1
NODE_560	1	0
NODE_562	1	0
NODE_563	1	1
NODE_564	0	1
NODE_565	1	1
NODE_566	1	0
NODE_568	0	1
NODE_569	0	1
NODE_571	1	0
NODE_573	1	0
NODE_575	0	1
NODE_578	1	0
NODE_580	1	0
NODE_581	1	0
NODE_583	1	1
NODE_584	1	0
NODE_585	0	1
NODE_587	0	1
NODE_588	0	1
NODE_590	1	0
NODE_592	1	0
NODE_593	1	0
NODE_597	1	0
NODE_599	0	1
NODE_600	1	0
NODE_601	1	1
NODE_602	1	1
NODE_604	1	0
NODE_606	1	0
NODE_608	0	1
NODE_610	1	0
NODE_611	0	1
NODE_613	0	1
NODE_614	1	0
NODE_615	0	1
NODE_617	1	0
NODE_618	1	0
NODE_619	3	2
NODE_620	1	0
NODE_622	1	0
NODE_624	1	0
NODE_626	1	0
NODE_628	1	0
NODE_629	0	2
NODE_630	0	1
NODE_631	1	0
NODE_632	1	0
NODE_633	1	0
NODE_635	1	1
NODE_637	0	1
NODE_638	1	0
NODE_641	1	0
NODE_643	1	0
NODE_644	1	0
NODE_645	1	0
NODE_647	1	0
NODE_651	0	2
NODE_654	0	1
NODE_656	1	0
NODE_657	1	1
NODE_660	1	0
NODE_662	1	1
NODE_665	0	1
NODE_667	1	0
NODE_668	2	0
NODE_670	1	1
NODE_675	1	0
NODE_678	1	1
NODE_679	1	0
NODE_681	1	1
NODE_684	1	1
NODE_687	1	0
NODE_689	3	0
NODE_690	1	0
NODE_691	0	1
NODE_692	2	0
NODE_693	1	1
NODE_695	1	0
NODE_698	0	1
NODE_703	1	1
NODE_704	2	0
NODE_707	1	0
NODE_708	0	1
NODE_710	1	0
NODE_711	0	1
NODE_712	1	0
NODE_715	1	1
NODE_716	1	0
NODE_717	1	0
NODE_720	2	0
NODE_721	1	0
NODE_723	0	2
NODE_725	0	1
NODE_726	1	0
NODE_727	1	0
NODE_730	0	1
NODE_731	1	0
NODE_733	0	1
NODE_736	0	2
NODE_739	0	1
NODE_740	1	0
NODE_741	0	1
NODE_742	0	1
NODE_743	1	0
NODE_745	0	1
NODE_748	1	0
NODE_749	1	0
NODE_752	1	0
NODE_753	0	1
NODE_754	1	0
NODE_756	1	0
NODE_759	1	0
NODE_765	1	1
NODE_766	0	1
NODE_767	0	1
NODE_768	2	0
NODE_769	0	1
NODE_770	3	1
NODE_780	0	1
NODE_782	1	0
NODE_783	0	1
NODE_786	0	1
NODE_789	0	2
NODE_790	0	1
NODE_792	1	0
NODE_793	1	0
NODE_797	0	1
NODE_800	1	0
NODE_801	1	0
NODE_802	1	0
NODE_804	0	1
NODE_805	1	1
NODE_806	0	1
NODE_807	2	0
NODE_811	1	0
NODE_813	0	1
NODE_815	2	1
NODE_816	1	1
NODE_820	1	0
NODE_823	1	0
NODE_824	1	0
NODE_825	0	1
NODE_828	0	1
NODE_829	0	2
NODE_833	1	0
NODE_838	2	0
NODE_840	0	2
NODE_844	1	1
NODE_846	1	0
NODE_848	1	0
NODE_849	0	1
NODE_850	0	1
NODE_852	1	0
NODE_854	1	0
NODE_857	0	1
NODE_858	1	0
NODE_865	0	1
NODE_866	1	0
NODE_867	0	1
NODE_869	1	0
NODE_870	1	0
NODE_874	0	1
NODE_877	1	0
NODE_878	1	0
NODE_880	0	1
NODE_882	1	0
NODE_886	1	0
NODE_887	0	2
NODE_888	1	0
NODE_889	0	1
NODE_891	0	1
NODE_892	0	1
NODE_896	0	2
NODE_901	0	1
