Geneid	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
2042_82	152	0	66	9	1	0	0	0	0	54
2042_83	27	0	10	5	0	0	0	0	0	8
2042_84	81	0	37	6	0	0	0	0	0	21
2042_85	40	0	15	0	0	0	0	0	0	5
2042_86	77	0	34	4	1	0	0	0	0	18
2042_87	48	0	19	6	0	0	0	1	0	9
2042_88	43	0	24	8	0	0	0	0	0	26
2042_89	41	0	32	3	0	0	0	0	0	6
2042_90	48	0	25	2	0	0	0	0	0	22
2042_91	49	0	17	0	0	0	0	0	0	13
2042_92	29	0	7	2	0	0	0	0	0	8
2042_93	54	0	21	3	0	1	0	0	1	12
2042_94	72	0	40	5	0	0	0	0	0	29
2042_95	25	0	10	4	0	0	0	0	0	10
2042_96	39	0	13	4	0	0	0	0	0	15
2042_97	11	0	5	0	0	0	0	0	0	8
2042_98	28	0	14	3	0	0	0	0	0	12
2042_99	34	0	9	4	0	1	0	0	0	6
2042_100	50	0	33	4	0	0	0	0	0	17
2042_101	59	0	25	2	0	0	0	0	0	27
2042_102	17	0	10	0	0	0	0	0	0	3
2042_103	36	0	17	1	0	1	0	1	1	7
2042_104	37	0	20	1	1	0	0	0	0	13
2042_105	12	0	3	1	0	0	0	0	0	3
2042_106	75	0	20	6	0	5	0	0	0	17
2042_107	26	0	17	2	0	0	0	0	0	4
2042_108	59	0	29	8	0	0	0	0	1	27
2042_109	66	0	31	3	5	1	0	1	1	23
2042_110	38	0	11	1	0	1	0	0	0	16
2042_111	20	0	13	1	0	0	0	0	0	8
2042_112	39	0	15	2	0	1	0	0	0	10
2042_113	45	0	22	7	1	3	0	0	0	11
2042_114	62	0	45	5	1	0	0	0	0	15
