Sequence	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_52220	4	0	2	3	2	1	0	0	3	13
k141_27414	7	11	1	2	17	4	19	0	2	9
k141_77348	6	0	9	5	0	1	0	1	0	0
k141_65591	7	0	5	20	0	3	0	1	0	15
k141_89798	51	0	21	25	1	7	0	0	0	3
k141_27422	0	0	0	0	7	0	18	0	0	0
k141_77357	3	0	1	0	0	0	0	0	5	3
k141_65597	1	32	3	5	12	18	17	13	1	1
k141_27430	8	0	0	2	0	12	0	0	34	23
k141_89803	12	0	6	27	1	3	0	0	2	20
k141_65601	0	0	0	0	0	2	0	0	22	1
k141_89806	8	0	1	18	1	5	1	2	2	17
k141_77361	63	0	25	33	0	6	0	0	0	12
k141_52236	17	23	14	14	30	12	39	1	0	6
k141_65606	0	0	0	15	3	0	0	31	0	15
k141_89810	84	294	84	41	187	75	309	254	0	56
k141_65607	1	0	2	0	3	0	0	0	5	35
k141_77363	11	15	10	8	25	8	27	0	1	5
k141_52242	1	0	0	119	1	21	0	21	0	74
k141_65610	0	0	1	1	0	1	0	0	2	20
k141_77368	0	0	7	7	0	0	0	0	4	0
k141_27441	0	0	1	1	34	3	127	1	0	1
k141_27443	48	0	13	18	0	7	0	0	1	2
k141_65617	8	0	23	126	0	35	0	0	33	20
k141_40113	3	112	46	7	58	13	125	544	4	2
k141_77373	1	0	0	0	0	1	0	110	0	2
k141_52244	0	42	0	0	59	5	112	4	0	0
k141_14584	7	516	190	32	289	47	642	3135	17	10
k141_65618	2	0	1	0	1	9	0	1	20	56
k141_52246	4	0	1	4	0	4	0	0	57	6
k141_14587	6	0	0	14	2	1	0	0	2	6
k141_40120	0	0	0	0	10	0	11	0	0	1
k141_77384	0	0	0	0	0	0	0	0	29	0
k141_40124	3	0	3	16	0	4	0	2	1	10
k141_65627	0	0	0	1	0	16	0	0	1	4
k141_27444	91	0	88	55	6	31	0	1	23	36
k141_14590	0	0	0	0	22	0	61	0	0	1
k141_89811	753	5	243	57	37	10	4	2	3	261
k141_27448	5	0	0	1	0	0	0	0	7	19
k141_89812	0	0	0	2	1	2	0	0	10	25
k141_40134	0	0	0	0	0	14	0	0	0	0
k141_27450	3	7	3	3	5	2	9	0	0	6
k141_77392	62	0	9	24	0	12	0	1	1	7
k141_52269	31	0	8	7	0	1	0	0	0	4
k141_77398	0	0	0	0	1	6	0	0	18	0
k141_52271	0	0	0	0	1	2	0	0	15	0
k141_40143	0	0	0	0	21	0	36	0	0	0
k141_77401	9	0	6	7	0	3	0	0	0	1
k141_89821	10	12	1	7	11	2	9	0	1	8
k141_27453	0	0	0	0	11	0	63	1	0	1
k141_27454	0	0	0	1	0	1	0	0	0	22
k141_89824	0	0	0	0	0	0	0	0	33	0
k141_40149	0	0	0	0	8	0	23	0	0	1
k141_65640	1	0	27	145	0	5	0	1	2	6
k141_40150	190	317	13	10	157	1765	111	715	0	123
k141_52281	2	0	0	2	0	2	0	0	22	2
k141_27457	0	0	0	0	1	27	0	0	4	7
k141_89829	1	0	0	0	0	0	0	0	2	12
k141_77410	9	1	0	14	2	6	0	1	2	13
k141_40155	0	0	0	0	0	21	0	0	0	0
k141_65641	3	1	1	1	0	1	0	85	1	2
k141_27460	0	0	0	19	2	0	0	32	1	22
k141_89830	0	0	0	0	10	0	45	0	0	0
k141_52287	1	0	0	0	0	3	0	0	20	0
k141_77413	1	0	0	0	0	1	0	0	1	15
k141_40157	3	13	0	1	10	67	1	24	0	5
k141_27462	3	0	0	0	0	1	0	0	7	5
k141_52288	2	6	2	4	10	3	5	0	0	1
k141_40158	3	6	2	3	8	2	9	0	0	1
k141_52295	0	0	0	2	3	5	0	0	3	6
k141_65658	7	1	5	16	3	2	0	0	1	6
k141_40161	4	0	4	20	2	1	0	1	1	6
k141_89836	35	0	8	13	0	4	0	1	0	1
k141_52297	6	0	2	0	0	1	0	0	10	23
k141_65665	1	0	6	7	0	0	0	0	6	1
k141_65666	0	0	6	8	0	0	0	0	2	0
k141_89848	0	0	0	0	0	0	0	0	15	0
k141_40169	8	14	4	5	12	7	10	0	0	6
k141_27486	0	7	1	0	28	6	0	0	0	2
k141_27487	16	0	4	7	0	1	0	0	0	4
k141_89858	22	1	49	30	5	11	0	1	8	5
k141_40179	0	0	0	0	0	1	0	0	10	2
k141_27488	0	0	0	0	6	0	27	0	0	0
k141_40180	2	4	3	3	1	5	0	2	10	13
k141_89861	4	0	4	21	0	7	0	2	12	4
k141_27491	0	0	0	0	0	1	0	0	5	24
k141_89863	8	0	0	0	0	1	0	0	7	2
k141_89864	0	0	1	1	0	1	0	0	2	44
k141_14593	412	3	465	338	32	202	0	1	134	202
k141_52298	242	0	230	146	22	125	1	1	85	120
k141_14596	1	0	0	1	1	2	0	0	35	0
k141_89868	0	0	0	0	0	0	0	162	0	0
k141_40181	0	22	2	2	96	101	4	66	0	1
k141_52301	5	10	2	5	20	7	11	0	1	10
k141_40182	0	0	0	0	0	1	0	0	0	16
k141_14597	147	579	85	61	362	126	567	0	0	33
k141_40192	2	1	0	0	2	11	0	1	18	3
k141_14600	3	2	5	5	2	4	0	0	2	11
k141_52305	9	13	7	7	12	7	16	0	0	7
k141_14606	0	0	0	0	0	17	0	0	0	1
k141_14607	7	0	4	9	0	14	0	1	17	4
k141_40197	46	0	18	18	0	7	0	0	1	9
k141_52307	0	2	26	135	0	2	0	1	2	7
k141_52308	0	0	0	0	9	0	25	0	0	0
k141_77418	1	1	2	0	227	12	1747	0	5	5
k141_40204	0	0	11	7	2	0	0	0	6	0
k141_14617	4	0	0	1	11	0	31	0	0	1
k141_40212	8	0	0	22	4	3	0	0	7	9
k141_52309	7	4	61	295	0	9	0	1	7	6
k141_40225	10	14	5	7	18	7	16	0	0	2
k141_40229	0	0	0	0	0	0	0	0	3	26
k141_52313	2	0	0	0	0	0	0	47	1	0
k141_14621	196	0	215	116	11	91	0	0	50	97
k141_52317	1	6	0	0	0	9	4	11	0	2
k141_77430	0	2	1	143	14	9	2	348	0	162
k141_14623	0	0	23	1	0	0	0	0	1	38
k141_52325	268	384	10	15	237	2384	176	966	0	158
k141_40232	1	37	0	2	45	5	152	3	0	0
k141_77436	0	0	0	0	0	1	0	0	18	0
k141_14625	32	0	7	14	2	3	0	0	0	6
k141_52332	1	0	0	0	0	0	0	0	1	35
k141_14630	0	5	3	0	3	0	9	40	0	0
k141_52336	0	0	5	5	0	0	0	0	6	0
k141_14632	0	0	0	0	3	0	16	0	0	0
k141_40249	0	0	16	7	3	3	0	0	7	0
k141_40250	1	0	0	0	9	0	16	0	0	0
k141_52345	4	9	4	1	2	0	11	25	15	1
k141_40252	0	5	0	0	11	3	42	2	0	0
k141_52348	1	45	2	2	42	18	104	6	1	0
k141_65677	771	53	1228	1640	3789	344	253	34	191	435
k141_14641	6	1	43	184	6	9	0	1	13	28
k141_40261	10	13	3	8	23	6	21	0	1	6
k141_14642	107	473	103	39	317	124	520	1	0	19
k141_65685	0	1	0	1	1	2	0	72	0	1
k141_65688	3	0	0	0	0	2	0	0	13	0
k141_77446	51	270	24	53	214	197	186	184	2	21
k141_27493	6	452	142	16	233	43	484	2397	10	15
k141_77450	1	0	0	0	0	0	1	0	2	21
k141_2697	745	1832	498	377	754	100	1080	4387	2692	148
k141_27498	3	0	2	6	1	4	0	0	23	51
k141_65704	7	0	2	10	4	2	0	0	1	5
k141_77451	0	1	1	0	7	4	0	0	0	2
k141_65707	3	0	0	1	2	13	0	0	0	1
k141_27500	13	1	6	12	0	2	1	1	0	1
k141_52354	2	66	1	0	133	33	319	5	0	2
k141_77453	0	0	0	0	1	0	0	0	24	2
k141_65708	0	0	0	0	0	0	0	0	2	22
k141_52355	1	14	0	0	1	1	1	0	0	0
k141_77457	0	0	0	0	0	0	1	45	0	0
k141_52360	3	0	3	8	2	1	0	0	0	11
k141_65715	0	2	0	0	16	29	0	0	0	0
k141_2713	0	0	1	2	5	29	0	1	3	1
k141_77458	0	1	0	1	6	0	32	0	0	0
k141_52362	0	0	20	65	0	0	0	1	2	1
k141_65721	1	0	0	84	1	1	10	0	0	0
k141_65725	11	0	1	15	0	0	0	1	6	19
k141_2734	3	6	1	1	6	2	3	0	2	1
k141_65730	2	1	3	0	0	1	1	12	5	1
k141_27515	0	59	1	2	96	9	272	5	0	0
k141_27517	0	0	0	1	0	1	0	0	3	24
k141_65735	7	2	0	1	0	5	1	2	2	9
k141_65748	2	3	2	8	5	7	0	0	0	11
k141_2755	2	0	1	6	9	12	0	2	6	5
k141_27523	0	24	7	1	13	8	35	121	1	1
k141_2757	6	14	10	2	1	8	37	13	6	2
k141_27531	0	0	0	0	3	2	13	0	0	0
k141_14646	152	244	3014	2506	171	89	236	1006	4289	1594
k141_2759	1	0	0	0	2	0	1	0	26	1
k141_65758	0	0	0	0	6	0	36	0	0	0
k141_77474	2	83	0	2	123	30	300	7	1	1
k141_27532	0	0	0	0	0	2	0	0	7	44
k141_2761	3	5	0	2	0	34	4	10	0	2
k141_2763	0	0	5	13	0	1	0	0	3	1
k141_27533	8	7	7	7	6	3	5	0	0	3
k141_77478	0	0	0	0	0	26	0	0	4	1
k141_40264	1142	4571	861	568	3189	1288	4815	6	1	228
k141_27537	0	4	1	0	1	1	11	1	0	0
k141_14652	0	0	1	1	0	4	2	0	117	0
k141_2773	0	0	0	0	0	15	0	0	0	0
k141_77483	0	24	0	0	30	6	69	0	0	0
k141_14655	13	0	0	0	0	0	1	0	15	15
k141_40266	9	22	4	10	22	14	27	0	0	11
k141_14659	1	0	4	0	0	0	0	0	1	21
k141_2780	0	14	0	0	13	2	54	0	0	0
k141_77490	2	0	1	5	2	0	0	0	10	0
k141_2782	2	0	10	23	0	1	0	0	1	0
k141_40272	2	0	0	0	4	0	17	0	0	0
k141_27554	17	0	5	6	0	5	0	0	0	1
k141_65762	2	82	0	3	116	23	276	10	4	0
k141_77493	0	1	8	33	0	2	0	0	0	2
k141_14661	1	0	0	0	15	1	57	0	0	0
k141_77494	0	0	0	0	0	7	0	0	21	0
k141_65766	0	1	21	0	0	0	0	0	0	0
k141_27566	0	0	1	39	0	0	4	0	6	2
k141_40279	0	1	2	2	0	2	0	0	14	52
k141_14669	0	0	0	0	6	0	20	0	0	0
k141_40286	0	0	0	0	4	0	9	0	0	0
k141_27569	277	165	366	260	95	54	125	93	18	202
k141_14676	5	1	5	33	3	4	0	0	8	13
k141_40287	0	0	1	0	9	0	44	0	0	0
k141_89872	1589	564	339	1129	1908	1730	182	110	10	893
k141_65769	0	1	0	0	0	2	0	269	1	0
k141_14680	1	4	0	2	8	2	4	0	0	0
k141_89876	4	1	1	0	0	1	0	0	13	5
k141_40289	67	0	26	33	0	14	0	1	0	11
k141_65776	23	113	26	8	53	25	81	0	0	3
k141_14684	13	0	8	21	1	2	0	1	5	18
k141_65778	2	13	3	2	6	0	10	44	24	1
k141_14690	84	23	125	52	20	7	15	31	12	43
k141_40296	11	4	1	7	8	3	6	0	1	6
k141_2789	1	1	93	415	2	7	1	0	13	13
k141_65783	5	1	0	0	0	0	0	0	15	4
k141_14691	8	0	4	26	2	3	0	1	2	15
k141_40300	2	6	6	5	7	3	10	0	0	3
k141_65786	0	5	0	0	14	1	25	1	0	0
k141_2792	27	2	19	8	0	4	0	0	0	6
k141_14693	59	0	21	18	3	7	0	0	0	2
k141_65791	5	8	0	4	6	0	3	1	0	4
k141_40312	0	0	8	36	0	2	0	1	2	0
k141_65799	1	2	1	5	1	1	0	0	6	4
k141_2800	3	1	26	92	0	5	0	0	8	5
k141_65801	0	0	0	1	0	14	0	0	0	0
k141_14696	0	0	0	0	0	1	0	155	2	0
k141_89882	211	3	206	149	11	106	0	0	65	82
k141_2803	28	0	9	13	0	3	0	0	0	3
k141_14700	5	2	0	0	1	1	0	0	6	5
k141_52365	5	351	119	15	175	46	337	1515	10	8
k141_2806	6	0	1	5	1	5	0	0	0	0
k141_14701	0	0	3	2	0	0	0	0	3	28
k141_40328	1	0	0	0	0	0	0	1	4	20
k141_14703	0	0	3	3	4	8	1	0	14	20
k141_52372	0	0	4	4	0	0	0	0	7	0
k141_65807	6	1	27	109	2	15	0	0	13	9
k141_14709	2	0	2	11	1	0	0	1	0	7
k141_2809	551	0	10	7	0	26	0	0	12	7
k141_52376	0	0	9	10	0	0	0	0	5	0
k141_52378	14	0	2	3	2	3	0	1	0	0
k141_14715	5	6	0	5	14	5	10	0	0	2
k141_2812	7	0	6	33	0	4	0	0	11	10
k141_52386	8	0	0	5	0	6	0	0	19	5
k141_65821	62	0	15	34	0	6	0	0	0	6
k141_2831	2	7	5	6	6	1	3	0	0	3
k141_14721	0	0	1	1	59	0	224	0	0	0
k141_14722	2	4	0	0	2	34	4	17	0	7
k141_14726	11	0	2	9	1	3	0	0	0	6
k141_89886	191	10	217	114	27	89	24	2	59	90
k141_52392	0	0	0	1	0	2	0	1	130	0
k141_89888	0	0	0	1	0	0	0	0	22	0
k141_2836	3	1	2	107	0	3	12	1	5	3
k141_52395	4	5	5	1	4	2	9	0	0	3
k141_89891	0	0	1	0	0	0	0	0	15	0
k141_52396	3	0	5	22	0	0	0	0	1	1
k141_89892	0	0	15	3	1	1	0	0	0	0
k141_14737	4	0	0	0	0	13	0	0	9	14
k141_52403	4	0	0	0	0	0	0	0	15	22
k141_2848	0	1	5	6	0	0	0	0	3	0
k141_14744	0	0	0	0	1	29	0	0	0	0
k141_65824	3	1	0	96	12	1	0	202	1	99
k141_52407	0	0	0	0	0	2	0	1	37	0
k141_14747	0	0	0	0	0	3	0	0	15	1
k141_52412	5	4	1	5	11	7	4	0	0	4
k141_2860	0	0	21	79	0	2	0	0	3	3
k141_40334	766	2889	536	345	2068	816	3071	2	1	158
k141_65829	0	0	54	194	1	0	0	1	1	2
k141_14762	13	17	8	13	26	16	24	0	1	6
k141_40335	0	0	0	0	1	3	0	176	2	2
k141_14763	0	0	0	0	0	1	0	31	0	1
k141_27572	1494	6158	1014	702	3897	1737	5960	17	13	283
k141_65844	1	0	0	0	0	0	0	0	29	10
k141_14769	1	8	2	1	6	0	4	0	1	4
k141_65852	1	0	0	0	0	0	0	58	1	0
k141_14770	0	16	2	3	58	48	3	39	0	0
k141_77497	885	88	1521	1945	4574	381	322	36	516	526
k141_40336	482	8	186	33	32	27	3	20	0	144
k141_65861	0	0	0	1	0	12	0	0	0	4
k141_2868	1	25	1	0	193	143	7	104	4	2
k141_14780	0	4	0	1	14	17	0	18	0	0
k141_77501	6	0	0	0	0	5	0	0	4	21
k141_65875	5	0	3	4	4	9	0	0	5	9
k141_77503	0	0	0	147	3	0	28	0	0	0
k141_65876	3	0	0	0	0	0	0	0	4	7
k141_40352	4	0	2	0	0	1	0	0	18	9
k141_27585	30	81	21	37	83	40	66	1	1	35
k141_77510	0	0	0	0	0	18	0	0	0	0
k141_65882	1	1	2	4	1	6	0	11	13	2
k141_14782	120	0	49	58	3	19	0	2	2	17
k141_2887	5	15	10	7	23	9	20	0	0	10
k141_14786	0	0	0	0	0	0	0	0	13	0
k141_2890	0	0	0	0	0	0	0	1	35	0
k141_27589	0	0	16	78	0	1	0	3	2	1
k141_14790	4	0	8	26	2	6	0	0	6	9
k141_65893	2	0	2	8	0	1	0	1	0	2
k141_2891	0	0	0	0	7	0	24	0	0	0
k141_77525	1	0	1	8	0	8	0	0	9	31
k141_14792	5	0	1	4	2	2	0	0	8	14
k141_40354	10	0	50	203	0	1	0	0	6	3
k141_2893	1	0	0	0	0	0	0	0	23	1
k141_27591	0	0	0	1	7	0	37	0	0	0
k141_14795	5	0	1	7	0	0	0	0	3	0
k141_40358	2	0	10	4	0	0	0	0	5	0
k141_89897	246	525	124	104	218	40	314	1450	734	34
k141_27594	0	0	0	0	16	0	30	0	0	0
k141_40362	28	0	9	10	4	7	0	0	0	5
k141_2904	0	0	0	0	0	0	0	0	1	19
k141_27596	2	14	2	0	1	3	1	0	0	3
k141_65898	7	0	34	169	4	8	0	1	15	24
k141_52413	2050	1	920	160	5	12	0	0	6	689
k141_40367	0	0	4	1	0	2	0	0	6	21
k141_14805	0	1	21	93	2	10	0	0	10	5
k141_52417	0	0	0	3	0	3	0	0	15	5
k141_65901	35	0	3	9	1	79	0	0	78	64
k141_65902	0	0	0	0	0	3	0	0	23	0
k141_27610	0	0	0	0	0	0	0	0	20	0
k141_65904	1	0	0	0	0	1	0	45	0	0
k141_40371	139	549	116	74	433	169	611	0	0	23
k141_14820	0	0	0	0	0	0	0	0	21	0
k141_40376	2	0	1	2	3	2	0	0	3	8
k141_52434	0	0	0	0	0	2	0	0	15	0
k141_2915	193	159	120	90	23	19	121	96	0	285
k141_14827	3	0	0	5	2	1	0	0	3	8
k141_52437	2	0	1	0	0	1	0	0	15	0
k141_14830	2	0	21	45	0	2	0	0	1	2
k141_65917	1	0	0	0	11	1	27	0	0	1
k141_2918	0	0	0	0	0	0	0	0	4	31
k141_40382	7	12	6	5	13	2	4	0	0	7
k141_52440	0	0	0	0	0	0	0	0	20	2
k141_14832	8	0	0	0	0	3	0	0	11	12
k141_52443	0	0	0	0	0	6	0	0	13	9
k141_65923	0	0	0	0	0	1	0	0	0	17
k141_27611	33	53	53	50	107	17	78	105	69	20
k141_40392	1	3	0	0	9	0	0	0	0	1
k141_52445	0	1	20	85	0	11	0	1	11	12
k141_27619	0	0	0	0	1	0	34	0	1	0
k141_2921	0	0	0	0	36	0	124	0	0	0
k141_2925	0	0	0	0	0	1	0	1	14	0
k141_27629	12	0	2	0	0	0	0	0	4	2
k141_52456	0	3	2	7	9	4	0	0	5	3
k141_2930	1	0	0	0	0	0	0	0	9	5
k141_14833	2	50	1	1	142	106	11	76	0	4
k141_27633	0	0	0	0	5	0	34	0	0	0
k141_52465	1	5	0	1	1	0	17	5	2	2
k141_65929	27	135	16	23	105	101	80	86	2	8
k141_14835	0	0	15	74	0	0	0	0	0	2
k141_27638	0	0	1	1	1	1	0	0	118	19
k141_52469	0	0	5	1	6	5	0	0	5	15
k141_14837	20	24	2	1	7	127	14	35	2	6
k141_14841	4	0	1	3	0	2	0	0	1	4
k141_2935	0	32	0	2	58	12	133	5	0	0
k141_27644	4	0	0	4	1	65	0	1	8	11
k141_52477	0	0	0	0	0	0	0	0	2	32
k141_14848	4	0	0	1	0	40	0	0	0	1
k141_65948	0	0	1	0	0	1	0	1	6	32
k141_2941	2	0	15	59	2	0	0	1	0	4
k141_52483	0	1	0	1	1	1	0	0	2	26
k141_27653	0	0	0	0	5	0	10	0	0	0
k141_65951	0	0	0	0	0	27	0	0	5	1
k141_27661	1	1	0	0	0	0	0	0	11	2
k141_2947	118	35	78	30	102	51	27	6	0	39
k141_2948	0	0	0	1	0	2	0	0	12	3
k141_52499	0	0	0	0	6	0	16	0	0	0
k141_14855	59	0	65	47	7	13	0	1	0	89
k141_2952	20	0	0	0	0	4	0	0	0	7
k141_2953	2	1	0	5	0	3	0	0	6	2
k141_65954	7	2	36	124	4	22	0	3	7	13
k141_52501	13	0	5	24	1	8	1	1	3	6
k141_27670	0	0	0	0	15	0	48	0	0	0
k141_14862	2	0	13	34	0	3	0	4	6	2
k141_27676	0	0	1	1	0	0	0	0	3	34
k141_2959	2	0	3	0	0	0	0	0	7	50
k141_27679	10	0	0	1	3	4	0	0	4	5
k141_52502	30	82	13	10	31	3	57	236	93	2
k141_40394	355	39	683	925	2233	175	180	22	227	291
k141_65970	0	0	22	73	0	0	0	0	0	3
k141_2966	0	28	1	0	40	7	87	0	1	1
k141_14881	5	19	2	9	17	5	8	0	1	3
k141_52508	1	0	1	2	0	5	2	0	14	58
k141_65975	0	0	1	0	0	0	0	0	2	23
k141_2970	0	0	5	3	0	0	0	0	4	0
k141_52510	2	0	0	0	0	2	0	0	30	0
k141_40408	10	2	20	22	65	14	2	0	8	10
k141_27694	0	0	0	0	0	3	0	115	2	0
k141_2976	0	0	0	0	1	0	0	0	17	0
k141_65976	43	3	20	107	2	24	0	0	21	45
k141_52520	0	0	0	0	0	0	0	0	19	0
k141_27695	0	0	13	12	1	0	0	0	12	0
k141_65979	2	9	1	4	2	1	7	0	0	6
k141_40415	0	0	0	0	1	3	0	91	0	0
k141_27701	2	0	0	3	0	15	0	0	3	8
k141_14887	2	0	6	1	3	4	0	0	23	153
k141_27705	0	0	0	0	0	0	0	0	2	22
k141_14891	1	0	0	0	1	10	0	0	0	0
k141_52521	0	64	0	2	63	27	220	5	0	0
k141_2998	0	0	0	0	1	27	0	0	1	5
k141_14893	0	0	0	0	9	0	20	0	0	0
k141_77526	8	510	149	26	245	47	558	2340	5	10
k141_40429	0	0	0	0	0	0	0	55	0	0
k141_27706	0	0	32	125	1	1	0	0	1	6
k141_65999	0	15	0	0	34	7	93	2	0	2
k141_14897	0	0	18	59	0	0	1	0	0	1
k141_40431	0	0	0	0	14	1	54	0	0	0
k141_40432	8	0	0	1	0	3	0	1	9	3
k141_3007	0	0	5	53	0	2	0	0	1	2
k141_27713	1	0	0	0	0	4	1	0	42	3
k141_66003	0	1	0	0	0	0	0	108	1	0
k141_14902	1	0	28	83	2	3	0	1	6	9
k141_40433	20	30	10	12	18	6	26	0	1	9
k141_66009	3	0	0	0	0	0	0	1	12	6
k141_27721	9	10	0	0	6	60	3	13	0	1
k141_66010	2	0	0	10	1	2	0	0	4	7
k141_89902	1028	82	1733	2402	5380	482	372	40	643	625
k141_40436	0	0	1	13	2	1	0	21	0	13
k141_14911	2	0	2	0	0	2	0	0	5	43
k141_40439	8	6	0	0	2	25	1	11	0	0
k141_14915	0	2	0	0	9	5	0	0	0	4
k141_89909	8	0	2	2	0	0	0	0	1	4
k141_52530	0	76	15	3	72	15	182	172	2	5
k141_89910	0	0	0	0	0	20	0	0	2	1
k141_52532	0	0	1	0	0	2	0	0	0	31
k141_40446	5	0	0	2	0	0	0	0	12	13
k141_27725	2	0	2	1	3	3	0	1	15	125
k141_14922	0	0	0	0	0	1	0	44	0	0
k141_66031	4	0	0	2	0	21	0	1	52	17
k141_40449	0	0	5	11	0	0	0	0	9	1
k141_89914	0	0	0	0	0	0	0	129	0	0
k141_52538	2	0	4	3	0	11	0	0	12	49
k141_14926	0	0	0	0	0	1	0	1	18	0
k141_14927	0	0	0	0	0	2	2	0	21	0
k141_27732	0	4	0	0	26	25	0	15	0	0
k141_14930	0	0	0	2	0	0	0	0	15	0
k141_40453	0	1	16	86	0	1	0	2	3	6
k141_40456	0	0	3	6	0	0	0	0	5	2
k141_52543	0	0	2	2	16	1	54	0	0	0
k141_27737	4	0	0	4	1	38	0	0	8	5
k141_52544	1	0	0	0	0	0	0	0	30	1
k141_27738	0	0	2	4	0	1	0	0	30	3
k141_40462	2	12	0	0	0	0	0	0	1	2
k141_89916	24	41	12	21	53	26	34	1	0	21
k141_40465	0	0	0	9	0	0	0	0	7	0
k141_14932	37	0	79	62	7	36	0	0	30	19
k141_14933	17	1	4	9	3	4	0	0	0	12
k141_27746	0	0	1	0	0	1	0	0	4	36
k141_14934	0	0	0	0	6	0	17	0	0	0
k141_27747	0	0	8	15	2	0	0	0	13	0
k141_40477	5	8	1	2	14	6	10	0	0	4
k141_27753	64	6	24	13	11	7	28	0	1	29
k141_52568	0	0	17	17	0	0	0	0	15	1
k141_40481	12	0	2	14	2	4	0	0	2	7
k141_66032	751	1	848	821	28	11	2	1	227	206
k141_52574	7	12	5	6	9	5	11	0	2	1
k141_27758	0	0	0	0	0	1	0	51	0	0
k141_40490	6	0	1	6	2	1	0	0	1	10
k141_27759	2	5	1	5	5	3	7	0	0	1
k141_27760	5	0	0	1	0	2	0	0	18	4
k141_89921	51	48	10	39	83	32	58	1	0	21
k141_89923	0	0	0	2	6	0	27	0	0	0
k141_27763	0	0	0	1	7	1	30	0	0	0
k141_40498	0	0	0	0	1	2	1	0	19	2
k141_52576	64	0	1	2	0	2	0	67	0	1
k141_89924	1	0	0	0	0	3	0	1	31	0
k141_14935	1	1	0	0	0	4	1	447	3	2
k141_40502	45	0	11	18	1	5	1	0	2	7
k141_27768	0	0	0	0	0	1	0	0	67	0
k141_14941	3	1	2	13	0	2	0	2	1	5
k141_14942	22	0	13	5	0	5	0	0	0	5
k141_40506	7	1	7	24	3	2	2	0	6	24
k141_89938	1	0	0	0	15	0	53	0	1	0
k141_14944	101	312	67	55	244	100	384	0	0	15
k141_27777	18	0	13	12	2	1	0	0	2	2
k141_40510	2	0	0	0	0	0	0	0	2	18
k141_27778	0	0	0	0	0	1	0	83	1	0
k141_89950	0	0	2	0	0	0	0	0	34	0
k141_66033	688	0	689	723	26	9	3	4	203	201
k141_14962	1	0	1	0	0	0	0	26	0	1
k141_66039	0	0	0	0	0	0	0	0	27	1
k141_14965	0	0	0	0	1	45	0	0	71	9
k141_77538	296	744	176	133	273	35	390	1908	1005	43
k141_66050	0	0	0	0	0	0	1	0	31	1
k141_89955	0	0	1	0	0	0	1	149	0	1
k141_40516	0	0	0	0	0	2	0	270	0	1
k141_52578	333	151	63	247	440	381	27	23	6	240
k141_66055	0	0	0	0	0	0	0	0	22	1
k141_40520	25	38	1	1	38	217	15	84	0	10
k141_77548	8	6	11	73	61	3	2	0	0	9
k141_52581	0	0	0	0	0	1	0	0	35	0
k141_27779	3	102	2	3	136	29	329	11	0	2
k141_40522	10	2	0	4	3	3	6	0	1	3
k141_14978	7	0	2	7	1	1	0	0	1	1
k141_52590	9	0	1	8	0	7	0	1	10	9
k141_27782	2	5	0	3	6	2	8	0	0	1
k141_89957	0	46	0	0	47	7	123	0	0	1
k141_14981	0	0	0	0	0	0	0	0	19	0
k141_77553	1	0	20	47	0	2	0	0	0	1
k141_89958	0	0	1	0	0	3	0	1	17	0
k141_14982	0	0	0	0	7	0	12	0	0	0
k141_52591	0	0	0	0	0	1	0	0	17	2
k141_66069	6	0	5	9	1	1	0	0	4	9
k141_40526	0	0	0	0	0	0	0	84	0	0
k141_77556	0	0	0	0	0	0	0	48	1	0
k141_14983	8	12	4	11	10	4	9	0	0	5
k141_27794	1	7	0	0	6	0	0	0	0	1
k141_14985	18	0	1	1	0	0	0	0	0	8
k141_77559	15	0	1	0	0	1	0	0	0	2
k141_66081	0	0	0	0	1	3	0	0	24	1
k141_89969	0	1	0	0	18	1	37	0	0	0
k141_77561	0	0	0	0	0	0	0	0	49	0
k141_89970	0	0	1	0	0	1	0	0	0	36
k141_40528	17	3	37	181	7	34	0	2	48	39
k141_66086	0	0	0	0	0	12	0	0	15	1
k141_27796	69	1	13	20	0	10	0	0	0	8
k141_14989	0	0	0	0	19	0	58	0	0	0
k141_89975	2	1	1	13	4	2	1	34	6	8
k141_27797	0	0	0	0	1	0	0	0	19	0
k141_40533	0	0	0	0	0	28	0	0	0	1
k141_66087	5	1	1	16	2	6	1	0	2	19
k141_52609	16	0	19	119	1	2	0	0	2	2
k141_52611	0	0	4	3	0	0	0	0	5	0
k141_40537	1	0	0	0	0	0	0	74	0	0
k141_27806	133	494	67	49	308	135	498	0	0	17
k141_89986	0	0	0	0	6	0	20	0	0	0
k141_3015	7	3	5677	4056	4	32	1	392	8923	2644
k141_14997	13	14	2	7	15	9	18	0	0	8
k141_40540	6	1	1	2	0	2	0	0	0	3
k141_14999	2	0	0	0	0	0	0	1	8	6
k141_66094	52	0	14	21	0	9	0	0	0	11
k141_40547	0	0	0	3	0	0	0	0	13	0
k141_52625	19	0	9	4	0	1	0	0	1	0
k141_89990	0	0	0	0	13	1	60	0	0	0
k141_27808	75	1	30	35	0	11	0	2	0	11
k141_89992	1	0	0	0	0	17	0	2	0	0
k141_40551	0	0	7	50	0	1	0	0	0	0
k141_77572	1	1	63	320	2	5	1	0	1	12
k141_27810	0	1	0	0	0	1	0	0	30	0
k141_40552	0	0	0	0	0	2	0	0	2	37
