Sequence	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_37748	5	15	3	1	8	2	7	0	0	5
k141_130	5	2	0	1	0	3	0	0	21	3
k141_62811	2	1	17	24	2	4	0	0	9	0
k141_25172	72	1	98	87	2	9	1	2	22	15
k141_75426	0	0	11	49	0	1	0	0	1	0
k141_37749	42	0	15	27	1	15	0	0	2	4
k141_62815	8	0	10	21	0	4	0	3	1	15
k141_137	0	0	0	0	0	3	0	0	10	0
k141_75427	2	0	0	0	0	1	0	91	0	0
k141_62820	11	0	1	1	0	0	0	0	0	5
k141_25181	9	0	0	0	0	2	0	0	24	12
k141_75429	0	0	0	0	7	1	30	0	0	0
k141_62822	0	0	9	8	0	0	0	0	8	0
k141_149	67	11	27	28	25	14	18	2	0	37
k141_25186	0	12	3	3	2	5	19	4	3	0
k141_12635	343	113	60	261	444	411	40	23	2	224
k141_37753	1	1	30	179	0	1	0	1	2	2
k141_152	0	14	0	0	9	3	46	1	0	0
k141_75441	0	0	0	0	2	1	17	0	0	0
k141_25192	2	0	0	0	0	2	0	0	18	1
k141_12640	3	16	2	3	0	2	26	20	7	0
k141_37756	0	0	0	0	0	0	0	55	0	0
k141_155	0	12	0	0	24	10	66	2	0	1
k141_75451	2	2	0	1	11	3	0	0	0	1
k141_25204	0	0	0	0	0	4	0	0	0	16
k141_62827	1	43	0	2	81	21	189	6	0	2
k141_75454	1	0	0	2	0	3	0	0	74	1
k141_12654	17	14	5	4	19	8	13	0	0	6
k141_37763	11	5	6	14	12	59	0	5	51	17
k141_62829	10	13	3	7	18	7	12	0	0	3
k141_75455	0	1	0	0	2	15	0	0	56	0
k141_37765	0	0	0	0	2	1	0	0	22	0
k141_161	1	0	1	0	31	0	87	0	0	0
k141_12657	0	0	0	0	0	0	0	0	55	0
k141_75456	1	2	1	5	1	5	0	0	18	6
k141_62832	0	0	0	0	0	20	0	0	0	0
k141_162	0	0	0	19	0	0	8	0	6	0
k141_12659	0	0	1	0	0	0	0	0	15	0
k141_75458	2	0	2	0	0	8	0	0	8	2
k141_12660	0	0	4	4	0	2	0	0	3	1
k141_62833	5	0	4	22	0	3	0	0	3	3
k141_87966	1114	820	737	482	149	135	607	619	22	1469
k141_12662	3	7	3	2	3	2	5	0	0	2
k141_37773	0	2	0	0	0	0	0	0	19	0
k141_62837	4	20	4	5	9	5	13	2	1	8
k141_12664	0	0	0	0	0	0	0	41	0	0
k141_75470	4	0	0	6	1	1	1	1	2	8
k141_87975	0	1	1	0	0	1	0	1	0	59
k141_12671	341	577	14	23	312	3159	231	1238	0	205
k141_37789	8	0	0	0	0	0	0	0	9	4
k141_184	0	0	0	1	6	0	23	0	0	0
k141_37791	4	1	2	4	0	13	0	0	17	11
k141_75472	13	27	4	8	33	24	21	2	1	6
k141_87986	4	6	0	10	6	4	0	3	1	12
k141_37796	2	0	1	2	1	0	0	1	10	6
k141_12690	0	0	6	8	0	0	0	0	7	0
k141_75475	0	0	0	16	5	1	0	34	0	14
k141_25213	70	196	39	30	64	10	104	452	270	14
