feature	1_RP_001	1_RP_002	1_RP_003	1_RP_004	1_RP_011	1_RP_012	1_RP_013	1_RP_014
180.066034@329.37[1]	3734956.0000	2209831.0000	1977617.0000	1160157.0000	2471349.0000	1762813.0000	699803.6875	3271221.0000
122.025825@179.73[]	42659.9688	35294.4883	26410.9492	30371.0391	25048.7402	34141.5703	31697.8105	25401.8496
146.081834@90.12[]	24738.0293	20184.2305	15432.9697	13653.9404	33474.5312	22999.4297	26503.6094	33617.4688
853.971394@667.77[]	48404.1914	250645.7031	45201.1406	22073.3105	40431.8281	16498.8594	14673.3896	15654.7998
476.279073@818.54[1]	300812.4062	232203.9062	182754.2031	148547.2031	89435.3516	159276.7031	107572.3984	108013.7031
269.043222@544.14[]	110202.0000	102535.7969	85248.0469	79732.9766	54594.1211	66461.5469	42549.1016	44222.1797
586.345592@816.47[]	23105.4902	24729.2598	21501.7793	20418.8008	14857.7803	106403.1016	14050.1699	14343.7500
202.047869@329.46[1]	263950.8125	159453.0000	144030.0000	92990.7734	235028.2031	165385.4062	68223.7188	321787.1875
133.065003@445.16[]	28382.2598	22146.9395	36233.8398	45999.3906	17721.9102	23421.6094	57286.4102	60557.6211
289.142332@799.38[]	47009.0391	31839.1504	37029.8086	28794.1504	23655.5703	30628.3496	25798.0605	29527.9805
1085.654072@834.31[1]	157658.0000	192185.4062	227424.4062	219238.2031	284134.8125	259828.5938	285291.5000	267912.3125
617.253223@293.12[3]	167178.0000	198181.4062	166480.0938	135918.5000	269940.8125	239473.2031	189115.9062	40491.2500
298.346957@801.36[]	469710.8125	44013.2305	122791.6016	53811.4805	44233.4883	40766.1914	30860.0391	62415.1719
360.187310@813.37[]	74908.5078	52296.9883	46532.2383	38743.5391	48717.6484	43976.7812	44679.5781	61073.9102
143.072808@179.36[]	73244.0000	59885.3594	53065.4102	48493.1094	57401.8398	63194.7109	61939.2305	63487.6484
115.039164@91.77[]	44700.6914	30879.5293	28751.1094	25006.3594	35847.7891	36442.5508	28515.2402	47319.0000
290.982706@385.00[]	37799.1094	14027.7695	45127.4883	27348.3008	26404.6699	34738.8594	14684.1797	28103.6992
241.180013@811.89[]	56164.8398	44667.3398	50393.8203	43970.3008	36793.0195	52327.4688	47653.7383	56266.8516
438.181312@303.07[2]	91238.1719	16142.1904	66411.6562	52838.3789	53968.4609	60911.1484	66988.9688	28937.0801
295.226826@853.84[]	28684.1406	29782.3105	43385.2305	37948.2617	19849.2109	45625.2695	32271.0391	45584.8516
312.362911@812.22[1]	603826.5000	566980.5000	118759.7969	144062.9062	82799.4531	36261.3281	137056.2969	461793.1875
335.154482@537.20[]	73099.6172	36696.4414	52807.5312	42507.8984	95101.2031	100753.0000	96548.8594	105511.8984
569.201763@815.07[]	41933.3086	38143.5508	57524.5312	33541.3203	22629.3809	13654.6201	20505.1094	16733.6406
366.837317@57.91[]	74823.5938	35726.0117	32013.5801	23336.4805	19914.4902	24046.1699	14749.4697	14316.4004
77.038242@102.22[]	56541.0586	50441.6602	48487.2500	46351.7617	51087.6914	47093.5586	40345.4492	36254.9688
136.062501@196.37[]	29918.4492	18754.4199	21066.9102	16127.7598	16358.5098	17932.6895	11168.9502	11455.0498
123.044233@352.62[]	78772.2109	13763.9805	24170.9297	35827.3906	59177.9102	76906.5469	30370.1699	42924.3906
521.075308@174.90[]	47369.7695	37090.0312	45634.1406	32715.7695	77669.7266	33958.4883	61554.8398	57436.2305
468.368612@788.39[]	38668.5195	29004.5801	19106.7793	21972.4609	21992.5508	11613.1904	11802.1797	16212.0000
1021.629249@843.81[]	29668.7695	34870.8789	53168.6289	32929.9297	40233.6797	42839.5781	43559.8906	33906.8594
270.071669@491.74[]	71356.2734	22442.0195	20882.8301	13057.4902	18088.3691	21342.9395	31328.8496	23841.5098
506.360886@909.17[]	98996.0703	108079.0000	59303.0586	44613.2891	47905.4297	54232.1094	48719.7617	69943.6016
452.276673@823.33[1]	159302.7031	135841.2031	107588.8984	75059.3828	47064.9414	41778.8711	55739.4492	50319.5703
157.081814@208.18[]	211675.2969	119791.7969	119291.2031	136346.5938	123623.0000	101843.2969	107342.2031	115694.0000
309.127210@309.97[1]	1299782.0000	118241.2031	139215.4062	32681.4902	63109.2695	244988.0938	51173.6602	87164.0078
174.112737@396.48[1]	734036.1875	355314.9062	302409.9062	190126.7031	362279.1875	310663.1875	146538.9062	209214.9062
317.247977@829.85[]	26211.6992	26280.6602	207963.2031	158220.0000	606967.6875	415811.1875	359781.6875	333874.6875
86.096056@73.44[1]	2962790.0000	2537385.0000	2786454.0000	2990871.0000	2374089.0000	2221385.0000	2048316.0000	1608377.0000
153.023570@500.20[]	374791.0000	275025.0938	286344.3125	263773.5938	162880.4062	208422.4062	118939.6016	153668.0000
310.201044@500.53[]	32900.8789	15227.3896	14051.3301	20074.2207	16969.3691	24042.8203	26832.0605	24655.1504
154.058705@56.47[]	85620.7109	64947.0781	51432.2812	43356.7500	59000.3906	54367.6211	60115.0586	52350.7383
414.132209@369.22[1]	4559218.0000	915235.6875	1495143.0000	593427.8750	935868.5000	1049175.0000	1182976.0000	1339986.0000
251.122266@438.72[1]	457843.0000	137975.4062	213947.5000	220371.5938	308568.4062	219230.2969	514087.3125	398173.5000
420.676466@360.30[2]	112887.5000	180598.7031	74440.7578	48390.4688	215437.9062	285077.8125	163577.5938	19733.3008
67.054058@445.37[]	33268.9297	22711.2793	33707.2695	40504.8516	15801.5400	19428.3008	45754.0586	48904.7695
626.660003@876.22[]	16011.2803	19801.1504	21993.7793	16534.2793	21738.8398	21864.5098	21736.9199	22783.8691
662.307368@350.97[2]	533594.0000	19193.5195	107573.2969	59856.1797	167157.5000	176325.7969	187699.4062	83360.6094
221.153257@795.37[]	107597.1016	62983.6094	55165.6992	50748.7891	52256.5195	46580.9883	41903.2305	50339.2891
272.222010@815.73[]	12566.7803	14905.9600	15800.5303	13668.0098	14796.0596	12573.4102	14459.3398	13916.5195
253.979445@593.82[]	127842.3984	86394.5234	63494.2383	40318.5703	91528.2500	53607.8281	52384.5312	93672.0703
444.296255@818.29[]	29767.9297	28023.9102	37914.4297	29132.5898	38000.5703	116127.3984	40242.3086	35956.6602
