feature	1_RP_001	1_RP_002	1_RP_003	1_RP_004	1_RP_011	1_RP_012	1_RP_013	1_RP_014
278.639710@822.00[]	22525.3906	19786.3008	21796.4297	25850.6406	22029.3203	25417.2695	23873.2305	25531.0801
449.326532@796.28[1]	195109.7031	151573.7031	73479.2891	43073.7188	71186.2266	56974.2695	39490.7305	26638.0000
103.039047@66.79[]	51504.8594	54011.3398	37863.7617	42376.5000	45244.1289	47969.5781	55440.6602	53175.5781
434.313963@818.66[1]	36850.7188	41934.3906	34900.8203	27503.0703	31143.2109	74739.3438	28929.6504	30533.7109
590.322630@830.88[1]	529559.1875	728183.1875	722460.6250	727618.8750	827432.5000	788325.8750	737026.1250	985932.6875
150.058525@53.25[1]	520583.9062	507651.1875	441933.9062	414685.1875	465703.3125	504970.6875	365744.9062	343197.5000
208.097191@488.60[]	269563.0938	266183.4062	96074.1016	80594.7266	447125.9062	41965.5117	30654.7109	100572.7969
309.168213@814.57[]	46502.0312	40402.5000	39178.4219	33792.2109	29019.2598	45512.1992	43016.8906	44488.9414
433.331480@815.52[]	76845.1016	50569.3906	57773.6211	49557.6016	43360.8516	40176.4102	45063.3516	43677.8594
827.750119@694.57[3]	655242.1250	97841.4297	222195.7031	34428.9492	198757.9062	76327.7109	27055.1602	21792.5293
380.210385@934.45[]	13139.2402	18257.9199	18761.8691	21757.1309	21298.4297	26643.7695	33355.1016	41563.0117
318.182222@370.13[]	53409.2500	25466.8398	31771.0195	31852.0195	22863.0508	25669.4297	23849.7402	22886.9492
1063.674694@833.52[1]	17154710.0000	17348860.0000	14453220.0000	14292470.0000	11452340.0000	11420420.0000	11211910.0000	9354959.0000
137.045307@73.44[]	1244114.0000	602628.6250	694578.1875	766836.8125	503676.0938	1180561.0000	668226.0000	771407.5000
196.094694@396.52[]	108040.2031	56602.3984	45500.3086	32728.3105	77863.2891	68567.7109	33723.2812	47964.1797
205.097466@493.39[]	46112.6914	20440.3008	18645.2793	14469.6396	19898.4395	18532.7305	17882.7500	33113.3594
233.078539@584.40[]	39888.5781	48873.5312	50193.9688	52278.8906	50725.6016	60907.8711	59737.4609	54811.5703
192.068970@258.93[]	198668.0938	98051.2500	75590.4922	39869.6016	117994.8984	102586.7031	50625.0312	85678.3672
309.227173@576.80[]	93924.2812	44102.7188	48282.5000	50349.0000	33470.5586	29584.5508	28193.8496	27846.3906
116.518057@378.60[]	33976.3008	27010.6699	31071.6797	12601.4600	31902.6992	41317.9414	28098.5898	25274.3594
97.990388@445.12[]	23451.7598	15308.8896	24075.8105	29360.0801	16333.1104	19165.1992	34741.8594	38238.6406
185.115646@493.31[]	84466.5000	49532.7383	64563.4297	67477.0234	96547.0469	67924.3203	75005.7422	101096.5000
292.014170@329.29[1]	251023.0000	165248.0938	160581.7031	102120.5000	213051.5938	163714.5000	70258.3516	275600.5000
262.060711@576.06[]	33578.7188	55642.8906	45079.5117	14682.2695	23826.9805	22193.9102	35478.6211	22824.7695
396.311226@776.75[]	385768.9062	181058.4062	243002.7969	269101.8125	309049.9062	151185.7969	151805.4062	262482.9062
238.635521@199.05[]	24499.1504	24366.8594	24412.3691	33401.4883	28075.3105	26692.9199	28058.7598	31036.7305
566.325372@822.00[1]	424581.0938	448639.5000	258897.5000	267855.4062	130503.7969	129998.2969	95526.0391	92560.4688
276.199366@712.82[]	77745.1875	36212.4414	47272.0508	57696.9609	69886.1406	46848.2383	43368.0195	98706.3125
332.750736@56.51[]	30246.9395	25638.0996	23933.2109	21179.2305	23660.0098	27082.8398	25540.0508	21549.5508
281.247831@904.47[]	23628.6699	31087.5391	37782.6797	32986.8906	23727.2109	40346.4414	38440.8398	50442.9609
133.059795@70.55[]	66041.3516	68520.2422	20591.2402	20203.3301	33701.3594	24988.1797	24026.9395	22372.0508
353.011797@793.88[]	87891.4922	94753.8672	58278.9297	80008.1172	42631.0391	78564.6562	48747.1211	45784.7383
273.029768@301.54[]	28205.3301	18150.9297	26711.9395	18239.8496	14694.6602	35610.4805	15804.9102	22961.0195
188.070776@480.96[]	54226.9688	21056.5508	28510.1406	21538.0098	30056.9805	22943.1309	30729.4395	46726.7617
326.196351@550.46[]	34833.3203	18888.2891	28731.2305	39697.5000	14642.1396	18987.1406	14371.8096	10240.1699
173.078696@88.22[]	126697.7969	289917.6875	127884.2969	141915.0000	295629.4062	162062.0938	79683.4531	158603.2031
210.049995@101.93[1]	1228747.0000	800326.5000	732556.3750	643438.6250	623956.3750	631676.0000	550696.6875	483447.1875
997.625326@831.34[1]	294444.9062	330871.0000	361167.0938	231790.5938	136958.0938	247246.4062	138385.5000	128662.7969
366.238725@805.98[]	39678.1211	34709.2695	42797.2188	43084.8594	29162.4004	43737.1992	43102.3711	26824.4395
326.305800@893.40[]	33795.6719	50431.9688	45081.8516	23285.5293	24550.5508	32354.7109	33598.9609	45692.1719
365.105760@50.19[]	11018.0303	13792.3203	15169.6504	13958.5703	19934.8008	14417.7598	13424.3203	19860.4805
558.319638@811.76[]	117768.7031	34271.3789	24732.0605	98151.2266	24786.2793	32526.0098	33369.7383	37644.4102
516.306918@825.80[1]	1020742.0000	853166.0000	758594.1875	683530.0000	399500.5000	336453.5000	400320.0938	382443.1875
542.322783@836.58[1]	1709628.0000	2348207.0000	3130680.0000	2877509.0000	3563690.0000	4036443.0000	4196299.0000	4322333.0000
77.038671@329.25[]	249069.2969	161714.5938	150388.0938	78936.5391	200252.5000	142074.7031	61127.6719	254067.5938
203.015712@51.30[]	64951.6094	52265.2383	59794.9219	60666.0586	94677.6328	60428.2188	47990.1211	71214.4766
245.186119@225.69[]	68175.6328	74822.4609	33879.2812	29390.5605	20286.3496	30048.1797	25909.7305	14880.9404
370.740851@56.38[]	67656.1875	54072.9805	56682.0391	51664.2188	55678.8984	47642.6914	54410.2383	52462.3789
192.066119@385.00[1]	252778.9062	87113.7031	318796.4062	155224.5938	126703.3984	195023.7031	78776.1328	150017.7969
307.044124@79.80[1]	723220.6875	493455.6875	433101.1875	322727.4062	182154.5938	239255.0000	233890.0938	168999.2031
393.209835@359.27[]	34375.5391	32618.5293	19943.9902	22315.5898	36457.3203	25203.8008	41728.2383	89588.8125
412.144155@342.46[]	590722.1875	240195.7031	162126.0000	174463.7969	133346.2031	146371.5938	188631.0000	224832.5000
130.065340@547.73[]	75076.4062	56563.0781	57438.9102	33608.6289	42658.6094	32533.3594	32060.8398	68432.4766
114.091044@240.47[1]	468312.5000	306703.3125	229887.7969	173779.2031	234957.5000	219961.0000	169778.0938	174278.2969
149.096251@799.79[]	16717.3906	13734.9297	11587.7900	13116.9004	12460.1904	14169.0703	12556.2900	20280.3398
118.065097@507.55[]	74030.8828	18976.2598	21034.9395	33122.0000	39969.9688	51185.3711	44834.5117	61906.7617
72.080917@53.08[1]	593995.8750	587225.0000	604641.1875	650730.8750	394625.5938	520228.3125	435653.0000	375369.0938
1143.794464@911.32[1]	207598.4062	265696.9062	152916.2031	156771.9062	145407.9062	109406.7031	25606.2402	19629.3691
134.116533@53.20[]	15691.4600	13724.7100	12043.7598	14391.8496	16014.9697	11625.9004	12872.2402	22609.8008
178.992593@72.41[]	64352.4414	53122.0117	44228.9688	29097.7305	57351.5781	31838.4707	24517.6699	39921.0117
291.982840@73.48[]	116541.7969	72309.6797	89627.8984	89674.1328	61581.0391	82286.8281	86870.3594	73331.7422
73.064991@208.34[]	49275.2812	23889.0801	26899.1406	33895.0312	21909.3398	17321.5391	19405.0195	20083.6699
584.333677@798.88[1]	802047.8750	885439.6250	207926.2031	297555.1875	67535.8672	354209.8125	54519.8984	79289.9688
588.364117@809.70[1]	130835.6016	107653.3984	43962.9102	44052.8984	21731.5801	39839.3906	20440.8809	19626.2305
102.127969@70.75[1]	188213.0938	232224.2969	251396.2969	288069.3125	243424.0938	369895.9062	289430.4062	310923.9062
176.037591@362.82[]	39556.9609	10477.1797	19510.4199	22707.6504	19357.6992	66935.3906	21448.0703	18163.1699
260.815147@56.09[]	61525.7812	21418.2891	21608.7695	20411.3203	19534.1406	21043.7500	19234.8008	18468.7695
85.028303@52.54[]	24937.1992	31301.6992	29749.2793	40359.9805	33246.7188	33051.0000	32866.1094	36540.0586
114.127758@273.01[]	45547.6484	66550.0938	50736.3711	48276.2109	57603.3516	72754.0391	31124.3398	81233.9922
299.082838@748.54[1]	491098.8125	87508.0625	427696.8125	254671.7969	166181.5938	176811.0938	139943.2031	207007.2969
542.322598@798.26[1]	174379.5000	189104.2969	54267.7812	64040.3984	32251.6406	77857.8984	37702.2305	27633.0996
1187.169242@748.71[]	27700.9004	704472.8750	32610.3008	14667.0996	60799.9688	27313.6602	39397.3594	35341.1211
225.109559@399.24[]	72229.3906	36166.7305	33265.5586	24369.2598	39994.0195	53856.3711	26775.8594	48989.4219
227.163273@797.93[]	27477.1094	30036.3008	38147.3398	47001.2188	30861.5508	31555.0391	33973.8594	24854.3906
56.049155@72.74[]	26948.6094	23357.8203	17907.2598	18403.6504	21067.1895	20904.7109	16536.8301	17608.7109
168.064546@87.52[]	38759.8789	38389.8906	34077.8086	19917.0703	37647.3984	28926.8105	24272.8008	32019.1699
230.095920@52.21[]	50555.3984	77663.8672	36105.4492	40437.0703	43026.0117	37261.9492	40846.5508	31039.1602
315.253119@822.83[]	56253.6602	42995.4688	49424.9805	36521.2305	28697.4297	54350.7188	28941.8008	56174.3398
331.952385@168.12[]	49999.5586	65374.6289	96918.4688	114326.6016	191246.2969	61370.0000	126551.8984	155740.2969
313.236838@812.38[]	61937.1719	34335.5000	41768.8008	32137.0508	17889.0703	34276.1406	22677.3105	28150.1797
304.175672@132.90[]	53966.0195	63292.2812	68313.8516	58361.6484	32975.0195	38052.0898	24795.4492	41844.6602
107.049241@102.14[]	149117.7969	126466.7031	116972.2969	123884.6016	119069.6016	102946.7031	98014.4219	85512.0312
498.075396@179.03[1]	132074.0938	89335.1094	76230.6797	56369.0703	53332.6602	72337.6875	63328.9219	63822.6289
1049.656264@831.05[1]	313393.4062	280636.3125	155445.7969	132988.9062	91089.9922	87619.9688	60663.6094	64563.2188
431.236414@674.92[1]	366579.4062	23847.0508	51804.9688	408469.0938	92582.2500	150788.0000	143913.9062	178040.0000
308.104726@369.18[]	124722.2031	47232.4492	72524.7109	34436.9219	41567.0586	39486.3984	49536.4805	53788.9609
319.136709@175.27[]	56196.4805	57344.0000	95985.6797	132819.2969	29306.1602	184501.0000	32784.0117	32502.4102
156.102156@396.39[]	121729.1016	61847.7812	55078.0898	32567.6406	60709.1211	52568.2812	27142.1191	35978.8789
263.084415@50.64[]	33914.5391	24901.3398	26407.7109	24614.6094	29137.5605	24216.1797	28442.9102	29420.2500
240.079038@137.03[1]	2655981.0000	1025284.0000	1708021.0000	1208223.0000	2020601.0000	1323668.0000	3348952.0000	2071978.0000
455.303529@818.25[]	17675.0898	11475.9502	14539.4697	15552.7803	20899.7109	51556.6289	14542.5498	14650.0400
262.060653@115.31[]	89683.7188	21127.1406	24453.4707	16608.7402	69555.2188	22900.9492	78475.9297	55440.4219
221.092605@179.03[]	80416.8281	67504.1484	61741.5312	60852.4102	82695.6016	76512.5703	75784.9297	88675.3906
605.061069@275.82[]	29245.6309	10065.8301	12685.5098	11440.3799	12388.5996	18519.9102	13087.7305	16887.0195
136.023706@385.24[]	35161.5195	13980.1904	47316.5195	24087.4199	24243.6191	37734.9492	17841.8691	33546.3203
152.030704@49.28[]	12228.2197	19405.9902	18360.3594	19786.0703	14789.8604	16314.6504	15168.3096	14188.1904
647.972798@266.15[]	29500.5508	36141.8516	42120.8906	33281.1914	46208.8203	40817.1094	52934.9883	54448.4219
1115.619028@830.43[1]	29957.1602	10529.9199	19333.6992	15143.2900	25161.8809	20842.1895	21781.3008	28601.5703
666.434647@876.39[]	39310.9805	25362.0605	36162.5508	32491.8105	12986.7197	25455.0508	21593.6699	36953.3594
240.079104@115.56[1]	1535060.0000	361135.6875	629684.3125	453794.9062	1408968.0000	458516.8125	1622025.0000	1111033.0000
76.039450@378.47[]	51814.9688	30628.0391	32430.5293	15731.5498	30596.7695	41280.2617	26246.1895	24675.7305
1039.676685@834.35[1]	24846650.0000	26129550.0000	23363170.0000	22973120.0000	12900910.0000	17025860.0000	13740770.0000	12613690.0000
304.165850@254.80[]	58332.9414	20501.7109	31704.2500	27464.8496	15643.9102	23455.9297	22800.0098	23226.5293
796.419129@56.47[]	25111.5195	21267.8691	20997.4492	16631.6504	20837.6699	21799.8203	20417.5703	18964.9492
234.024034@73.52[]	205986.0000	138199.4062	166082.5938	161126.4062	109221.0000	142086.7969	139093.7031	128684.8984
270.089165@542.49[]	55720.6719	39704.1016	21939.1797	66175.6875	16602.1309	36136.5000	21078.3203	22738.4609
196.073182@72.94[]	37525.4414	24357.0000	25979.7402	30946.5703	24518.4609	34542.3711	41417.4492	39561.9492
167.106757@799.91[]	70639.6172	61677.7812	62114.5117	59674.9414	60890.4102	62949.5391	59252.5312	82825.8828
193.041453@183.57[]	37822.7812	17271.6602	23520.4805	15273.9902	37121.0898	20719.0996	80106.4219	39239.0781
375.022809@57.87[]	49055.9102	23969.5293	23949.5801	13848.3604	27385.9297	20132.8906	18283.9805	14187.6602
1069.716947@908.22[1]	264672.1875	449860.4062	189586.0000	147226.5938	227490.2031	314478.0000	346871.3125	520778.6875
560.311720@854.42[1]	54813.1484	96773.4922	100816.7969	43383.4414	55333.6016	57622.7500	57177.7383	48514.6602
203.052978@72.41[]	6510305.0000	3279890.0000	3443456.0000	2650085.0000	4559236.0000	2823419.0000	3577656.0000	3192937.0000
280.092254@56.34[]	90399.4297	40530.9492	36440.5781	23761.8105	56764.7617	34505.2383	42364.4688	27293.8398
448.765604@799.91[2]	166255.2969	13632.8896	39985.9492	150971.7031	100251.6016	122615.7969	148958.5000	165720.7969
546.353969@903.10[1]	2859022.0000	4930857.0000	3610554.0000	2678270.0000	5557375.0000	5458245.0000	7926201.0000	1143179.0000
300.201962@281.43[]	58673.8281	92984.1016	36505.7500	30736.3809	71102.9219	37833.8984	39054.1211	102238.7031
237.106546@426.91[]	538175.8750	197566.7031	196456.2969	157396.5938	479293.4062	306142.0938	892287.3750	666912.8125
132.044617@642.58[]	547063.1250	484756.1875	336129.4062	273470.1875	355718.0000	265479.4062	413693.0000	368371.4062
408.149158@79.71[]	169123.5000	138370.0938	67631.1406	70640.4219	40338.8516	46132.0312	47817.2500	36612.4297
311.251568@757.21[]	422040.3125	230870.7969	297524.3125	230356.7969	103020.7969	93726.1328	105844.7031	90935.5391
318.182380@337.80[]	41617.7695	14790.0303	19656.0391	16020.0000	12722.9600	16292.8799	14738.7695	12110.9297
290.055542@491.74[]	98139.2812	30396.0703	38832.6211	21440.4609	36968.6797	45246.9219	72831.6406	53358.3516
240.079135@230.43[1]	2274156.0000	897637.8125	832968.6875	661463.5000	1335586.0000	1624504.0000	2075652.0000	1600500.0000
524.300217@840.67[]	67819.0312	46785.4883	53886.7305	28930.7598	36374.0898	27996.2305	30678.5098	29371.9297
568.338530@843.10[1]	557308.8125	775359.3750	751496.5000	645608.5000	394038.6875	401228.0000	483084.3125	273946.3125
279.170448@314.76[]	59706.4609	72792.4766	30922.8496	27765.7109	21525.6797	29183.2695	22585.1602	14918.6201
318.029972@493.31[]	26516.6602	11678.2305	12607.9004	11238.9805	14442.7998	13680.7598	12812.0596	25731.3496
301.118651@624.00[1]	111008.6016	63136.5508	59445.0312	51998.3398	49685.2617	26583.1406	26238.9395	26976.7891
261.144986@225.44[1]	2511645.0000	2877158.0000	1785395.0000	2265789.0000	1805270.0000	1840536.0000	1206655.0000	1438772.0000
430.386533@802.06[1]	255108.0000	77384.4531	47297.4609	48692.8203	70000.4062	50252.5508	60259.5586	143545.2969
225.148656@372.86[]	32238.1992	27031.7109	19686.1895	17921.6191	17714.5801	14865.1504	15002.6797	14786.0596
281.106495@79.71[]	19469.3691	18793.9297	17664.8105	17468.8496	14955.0000	13358.4805	14849.8203	18993.6094
137.031420@378.93[]	17537.6406	15455.8799	15185.5400	9027.1387	16696.4609	20480.0098	13189.4297	13974.9102
206.081480@533.12[1]	1124300.0000	700327.8750	172139.5938	100425.5000	367295.1875	255525.0000	81648.1172	286468.1875
751.512315@818.58[1]	367805.0938	302451.0938	275696.5938	184424.0000	330453.5000	2710560.0000	276062.5938	257777.5000
197.128535@181.42[]	39443.9805	31015.7402	26065.8809	19433.3906	25763.0605	43737.8984	30988.1602	32541.1094
448.342644@788.35[1]	935611.0000	608861.3125	611108.6875	732942.6250	483421.4062	415420.9062	323495.5000	397645.8125
1097.158355@745.36[2]	80400.3203	412780.8125	93024.6484	39159.8906	211678.5938	54248.0586	42542.3984	64619.8789
367.763017@293.08[]	37270.6289	45580.5391	37551.4805	36387.9102	69742.9922	63517.1406	53559.3281	11983.9902
197.128718@193.31[]	60610.6797	59978.5703	32862.9883	30133.2793	27031.1309	26327.2695	22567.2402	22852.3105
282.279163@906.65[]	14253.6396	14848.6504	16242.5703	14584.5703	15593.9600	14425.7695	40897.1211	34490.9883
466.087775@650.97[]	40244.8711	13975.6104	21105.2598	13050.1602	17940.9395	14833.3496	38531.8203	26707.0000
206.061395@241.87[1]	280489.3125	141109.9062	150683.2969	146512.4062	180501.4062	176306.7031	176320.0000	189456.0000
196.864953@56.30[]	505748.5938	195911.2031	189567.9062	184286.7969	183203.5938	165131.9062	180954.2969	183939.9062
253.102893@552.52[]	136241.9062	41620.2617	46736.9883	31908.3008	158335.9062	48566.7109	177778.5938	215291.5000
376.928686@55.39[]	88512.1406	99001.7188	124111.0000	103745.3984	151170.2031	104701.2031	145394.2969	128146.7969
552.801368@56.09[]	22233.3398	15067.8096	17632.5293	12561.5303	21689.5508	15008.7695	20450.8301	18378.3203
153.138617@842.07[]	42552.9688	64589.6406	80697.3984	56956.0586	76869.7891	72427.1406	84031.8125	85660.7188
562.327384@903.15[1]	96807.3281	186496.0938	145265.4062	105512.1016	183759.5938	205556.5938	324393.4062	45336.3594
624.540711@56.47[]	22212.2109	21194.2207	20558.2402	15732.5596	17137.3906	20291.1992	19222.0898	18127.0898
490.294955@805.40[]	116548.1016	77113.3906	48723.7617	46155.2812	31801.1992	33208.9102	28577.8008	46815.2305
1013.654563@846.53[1]	431325.1875	639991.8125	722867.3750	495758.6875	657814.6250	701554.3750	653721.1875	657749.1250
1080.797003@898.77[1]	252826.2969	307551.0938	188733.9062	130085.2031	135079.0938	109275.3984	24875.6992	19010.4199
289.049707@179.27[]	154890.4062	111267.8984	84323.2734	64159.6719	52486.3984	96093.9531	73864.9531	66996.5781
290.055655@527.25[1]	328413.1875	106427.7031	116183.2969	99545.2500	173182.4062	105354.3984	277574.9062	204088.7969
251.084755@526.22[]	57789.6094	15382.6104	41552.2812	24681.7109	139543.5938	46118.7188	212396.2969	161551.2031
274.183524@649.11[1]	209465.5938	105159.7031	93128.3984	121128.0000	161405.0000	115654.7969	87819.5391	228572.0938
290.160259@77.32[]	32290.3203	33787.3203	31844.3008	42014.3281	37612.1289	27155.2207	32388.4004	60020.9297
191.164196@725.63[]	31337.3398	28084.9395	29568.4102	28090.0391	18727.2500	20050.5098	18058.1094	21176.8594
550.313435@848.59[1]	14549.7002	77220.0312	67992.1016	25633.1699	11651.9297	26675.2402	28021.4492	23577.5801
251.199727@827.29[]	53407.3711	26976.2207	31144.9609	27341.3398	28094.2695	30910.9707	27395.6094	47943.3281
722.505947@865.40[]	28219.5195	42748.4492	39091.9102	23022.6895	12801.0801	10722.6904	12774.5596	19420.2695
132.101777@53.33[1]	862744.3125	859095.5000	858372.3125	561549.8125	728575.3750	708161.5000	627883.3750	375669.0938
991.677585@846.33[1]	30789380.0000	31837940.0000	29054400.0000	22828250.0000	19332030.0000	19155740.0000	17848090.0000	18190000.0000
443.233038@754.78[]	107233.0000	185047.2031	31009.8301	48520.6992	45392.8594	46929.2812	57607.0000	59703.6992
1099.410038@742.64[2]	36248.3398	129972.0000	41821.6914	23355.2598	83149.1094	32830.8594	24743.6504	48525.3086
397.111176@102.05[1]	150518.2031	100078.3984	82396.1406	79739.7969	58554.2383	65022.7891	49394.0703	43435.2383
634.452577@867.30[]	26919.6191	45548.0391	42198.3516	26632.6895	15639.4199	15132.6904	19598.6191	22651.9902
167.070891@692.14[]	42703.9102	38753.2812	39492.2891	30946.6191	35219.2617	39169.4219	41041.7383	33349.7891
310.876004@58.16[]	205560.2969	101798.2031	97530.1719	68374.1172	56566.8086	70344.6016	40617.3984	39869.2891
549.084799@262.89[1]	135253.2031	65451.3789	68743.4375	58384.0703	34680.9102	45039.7188	46516.8594	32005.8809
113.096081@445.16[]	106288.7969	75597.9062	117818.2031	147969.5000	55401.1797	71605.1875	175410.0000	180846.0000
185.959952@49.41[]	36838.2891	27549.4902	23815.7793	18916.7793	12915.2695	27621.4004	12100.1104	11358.7598
171.138122@810.77[]	15154.1504	15361.2803	41028.6719	18331.3008	17983.9707	42909.0000	14438.9297	27286.8809
169.977374@445.16[]	18803.7305	14953.1504	23580.5898	25178.5000	13141.0400	14826.3203	29882.8008	30976.2500
215.125851@341.18[]	71606.0625	49929.9609	51466.3789	42489.0117	42559.6094	30197.6699	27375.7305	29683.9004
131.049600@102.18[1]	267237.9062	234888.5000	206183.5938	203898.5938	197096.0000	178572.7031	161959.0938	141608.2031
436.160375@565.41[1]	217413.5938	120482.8984	70525.7578	75723.6016	31373.5391	51545.7109	23570.2598	57896.2500
220.136866@410.31[]	88313.7578	35893.6797	49279.2500	54873.2305	152765.5938	80577.9609	88665.8672	227477.5000
286.061240@396.48[]	36066.1406	20875.6602	16609.7500	13742.8096	24301.8691	20893.0508	10505.6104	13135.7998
228.196013@792.77[1]	2077101.0000	575104.1875	1163265.0000	970480.8125	766173.6875	308905.9062	1542071.0000	1258975.0000
295.129384@269.83[1]	940678.6875	1067592.0000	600722.8750	742542.3750	752337.1875	698918.0000	494635.8125	651081.3750
347.160722@748.34[1]	464182.4062	140662.0938	209759.2969	207284.4062	144377.4062	78690.0781	84699.0234	71490.3516
971.607379@842.07[]	42450.1914	41803.2617	37577.0312	22061.8906	61843.1484	64345.2617	56784.3203	68691.6484
230.079170@455.61[]	53407.8594	28564.3301	21019.8398	13214.6104	29669.0195	31902.0000	16773.0508	18463.5996
532.337838@867.76[1]	220240.7031	380023.0000	286522.4062	75760.0234	159867.5000	208471.9062	138915.0938	136956.7031
182.058230@51.80[]	129218.1016	136716.9062	175071.2031	161162.4062	176758.5000	192183.0938	256677.2031	239831.9062
117.055487@179.23[]	51227.2812	40362.6094	36434.5000	27620.4004	46784.2695	34645.2305	33012.5391	36670.6289
297.036648@702.05[]	60204.1602	35960.3086	23349.0703	23258.9297	23938.3809	14525.4502	28674.9609	130383.2031
311.124202@140.21[1]	178874.4062	220515.0000	116198.8984	150859.5000	97138.0234	85896.7891	51236.1406	58409.2109
600.467532@880.14[]	32623.6602	43960.9102	58763.7695	33642.5586	12795.0195	10742.2598	13626.8604	189986.9062
356.352313@788.68[]	55868.0703	25687.8203	21292.1406	35965.1289	28094.6309	19408.4902	791041.3750	95116.2109
399.251050@855.82[]	162924.5000	28927.6992	127504.7969	204876.0000	35778.8906	53082.1406	51947.1797	614217.6250
125.015525@262.68[1]	1783023.0000	934329.3125	985819.8750	952241.3750	1163418.0000	1114997.0000	1310681.0000	1186628.0000
336.325820@881.92[1]	83822.7812	43584.2695	108231.7969	15448.7598	52336.6602	15216.5195	214898.0000	47135.5586
197.077700@296.67[]	69064.5078	26756.4297	19805.3594	23644.3203	50824.0781	18614.9297	51507.5703	39555.8711
158.027174@147.89[]	227671.5938	205461.9062	243142.2031	145145.7031	204658.5938	421825.1875	209094.5938	288477.4062
121.072164@51.30[1]	249307.7969	207088.0938	230414.9062	210905.2969	149740.7969	200269.9062	194284.9062	229068.5000
562.587880@56.42[]	20378.6602	20405.9609	21401.7109	17255.0996	19742.5898	22932.7793	22247.9609	18718.8809
444.368878@793.14[1]	149796.7969	95791.1719	53716.6719	54399.3281	74972.8672	48177.6484	67343.1406	69389.1016
287.032134@657.86[]	29535.5391	25546.9395	14856.4404	14700.8496	12037.4502	18728.9004	19636.5195	20148.9492
319.147608@384.13[1]	215232.7969	37963.8398	71310.6094	179231.0938	62700.0117	92144.2734	76683.2578	109135.1016
224.083968@650.68[]	158911.5000	58790.0586	87480.4922	52852.6719	75872.1406	51415.8281	145003.2969	104852.6016
583.570495@303.19[3]	56476.6484	9565.3467	40610.0586	30718.7402	31557.3906	34208.5117	39470.6992	15869.1504
738.404508@566.36[2]	125517.7031	71725.5781	94612.7734	33349.0195	130878.3984	60452.9297	61849.4219	73037.4375
319.221432@52.67[]	31966.8691	29082.0703	24497.3105	22583.7695	24341.0195	32727.2305	26341.7793	22579.5000
185.153674@773.90[]	75072.2969	38358.6289	37748.4688	28673.9395	33999.3398	27402.3398	25535.3203	34715.8398
504.309004@840.59[1]	130663.0000	129023.8984	124524.2969	85253.1484	71054.2266	81782.8828	83960.9297	54443.3711
354.318810@842.61[1]	87670.5625	123736.7969	181232.9062	161765.2031	214828.4062	206460.2969	250462.2031	250910.2031
558.295927@836.58[1]	46458.0117	60060.2109	84045.2969	76512.7891	86712.0312	99043.0391	101893.8984	106167.3984
266.173227@764.36[]	262676.8125	40410.0195	82743.4688	106639.2969	86133.5312	54813.2617	98735.6328	148039.7031
537.308175@852.56[2]	8989.8545	19531.9004	26745.4395	16643.2793	20007.5000	18465.6602	18406.1797	18198.6191
374.735341@56.34[]	122719.7031	85640.1875	87455.5781	85662.4531	86705.9531	74645.4688	89234.7578	86026.5625
130.065495@439.34[]	28686.7500	22136.9199	17977.2207	17408.7500	29289.5898	24018.0391	18880.3691	26471.3906
270.797692@56.55[]	41707.1016	38891.6289	37232.7891	30720.3809	31159.3105	38858.6094	35381.7500	29063.8105
269.247631@861.60[]	12071.8096	27219.8398	37132.1094	12610.2002	22163.8496	24964.9707	27997.1895	24752.5996
101.059947@154.74[]	103156.6016	57520.8398	69070.4766	19929.3203	66581.0391	42247.1602	48960.4102	53012.9883
185.128507@192.57[]	183730.7969	151502.2031	73659.0078	77897.6094	302688.0000	151214.9062	118286.2969	203200.5938
104.107361@55.39[1]	25156550.0000	14745710.0000	9981466.0000	8143166.0000	11388680.0000	10605500.0000	9304081.0000	8691484.0000
448.667708@56.34[]	47317.4805	42786.3711	41532.1992	31662.2695	39872.1719	42803.6602	39258.9297	35803.3281
508.819976@56.38[]	19017.6895	15667.9404	16997.9102	11992.2500	19545.8105	16669.6191	19049.2891	15086.2197
277.118987@513.91[]	48589.1016	16984.6992	24507.6406	13072.0703	17685.6406	14676.2100	10907.8301	15622.5996
1013.656489@829.11[1]	718974.3125	578819.8125	380902.8125	316841.4062	122245.7969	92973.5938	120517.7969	77768.7031
247.086934@642.75[1]	935013.3125	913492.1250	473126.5938	322362.9062	284023.8125	161595.2031	375746.5938	321765.9062
521.380007@797.76[1]	340110.0938	382987.5938	355715.5938	330406.0938	237297.2031	246608.2031	227401.2031	211686.4062
276.633741@843.56[]	18521.4102	20205.4102	31317.0703	25873.6699	68923.9062	28892.7402	75722.3906	77032.2109
246.066015@262.64[1]	444796.5000	177490.4062	189855.7969	159833.4062	173511.5938	177477.5938	212944.0938	165640.0000
356.279579@763.49[]	54062.9883	22665.4297	31417.5098	38254.8086	16318.9004	18406.6699	13938.1201	21748.1191
424.342887@788.31[1]	2729398.0000	1655774.0000	1617644.0000	1955942.0000	1605365.0000	1060483.0000	771866.3750	1204969.0000
358.368365@797.31[]	60862.7617	34512.4688	24632.4902	31367.0605	29030.5996	27424.4707	239228.5938	59209.6094
250.178347@792.73[1]	269940.0000	88382.1172	218768.5000	173361.4062	204890.7031	79969.2500	412682.0938	362381.5938
